#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
999581653 ; 7.67753 ; 3.29773 ; 0 ; 0
999581813 ; 7.70796 ; 3.29773 ; 0 ; 0
999581973 ; 7.68727 ; 3.29773 ; 0 ; 0
999582133 ; 7.68849 ; 3.29773 ; 0 ; 0
999582293 ; 7.68849 ; 3.29773 ; 0 ; 0
999582453 ; 7.67631 ; 3.29773 ; 0 ; 0
999582613 ; 7.69701 ; 3.29773 ; 0 ; 0
999582773 ; 7.69701 ; 3.29773 ; 0 ; 0
999582933 ; 7.69944 ; 3.29773 ; 0 ; 0
999583093 ; 7.69822 ; 3.29773 ; 0 ; 0
999583253 ; 7.67388 ; 3.29773 ; 0 ; 0
999583413 ; 7.70553 ; 3.29773 ; 0 ; 0
999583573 ; 7.68483 ; 3.29773 ; 0 ; 0
999583733 ; 7.70309 ; 3.29773 ; 0 ; 0
999583893 ; 7.68362 ; 3.29773 ; 0 ; 0
999584053 ; 7.68483 ; 3.29773 ; 0 ; 0
999584213 ; 7.69822 ; 3.29773 ; 0 ; 0
999584373 ; 7.69336 ; 3.29773 ; 0 ; 0
999584533 ; 7.68849 ; 3.29773 ; 0 ; 0
999584693 ; 7.68483 ; 3.29773 ; 0 ; 0
999584853 ; 7.69214 ; 3.29773 ; 0 ; 0
999585013 ; 7.70553 ; 3.29773 ; 0 ; 0
999585173 ; 7.69579 ; 3.29773 ; 0 ; 0
999585333 ; 7.67875 ; 3.29773 ; 0 ; 0
999585493 ; 7.68362 ; 3.29773 ; 0 ; 0
999585653 ; 7.7104 ; 3.29773 ; 0 ; 0
999585813 ; 7.67509 ; 3.29773 ; 0 ; 0
999585973 ; 7.7104 ; 3.29773 ; 0 ; 0
999586133 ; 7.6824 ; 3.29773 ; 0 ; 0
999586293 ; 7.67631 ; 3.29773 ; 0 ; 0
999586453 ; 7.69579 ; 3.29773 ; 0 ; 0
999586613 ; 7.69214 ; 3.29773 ; 0 ; 0
999586773 ; 7.70309 ; 3.29773 ; 0 ; 0
999586933 ; 7.68727 ; 3.29773 ; 0 ; 0
999587093 ; 7.67753 ; 3.29773 ; 0 ; 0
999587253 ; 7.69579 ; 3.29773 ; 0 ; 0
999587413 ; 7.69457 ; 3.29773 ; 0 ; 0
999587573 ; 7.69457 ; 3.29773 ; 0 ; 0
999587733 ; 7.69336 ; 3.29773 ; 0 ; 0
999587893 ; 7.68849 ; 3.29773 ; 0 ; 0
999588053 ; 7.67875 ; 3.29773 ; 0 ; 0
999588213 ; 7.70309 ; 3.29773 ; 0 ; 0
999588373 ; 7.6897 ; 3.29773 ; 0 ; 0
999588533 ; 7.69822 ; 3.29773 ; 0 ; 0
999588693 ; 7.68849 ; 3.29773 ; 0 ; 0
999588853 ; 7.68849 ; 3.29773 ; 0 ; 0
999589013 ; 7.70918 ; 3.29773 ; 0 ; 0
999589173 ; 7.67631 ; 3.29773 ; 0 ; 0
999589333 ; 7.69822 ; 3.29773 ; 0 ; 0
999589493 ; 7.69944 ; 3.29773 ; 0 ; 0
999589653 ; 7.68849 ; 3.29773 ; 0 ; 0
999589813 ; 7.67753 ; 3.29773 ; 0 ; 0
999589973 ; 7.70675 ; 3.29773 ; 0 ; 0
999590133 ; 7.68849 ; 3.29773 ; 0 ; 0
999590293 ; 7.69092 ; 3.29773 ; 0 ; 0
999590453 ; 7.69579 ; 3.29773 ; 0 ; 0
999590613 ; 7.70796 ; 3.29773 ; 0 ; 0
999590773 ; 7.68605 ; 3.29773 ; 0 ; 0
999590933 ; 7.68605 ; 3.29773 ; 0 ; 0
999591093 ; 7.69336 ; 3.29773 ; 0 ; 0
999591253 ; 7.69336 ; 3.29773 ; 0 ; 0
999591413 ; 7.6824 ; 3.29773 ; 0 ; 0
999591573 ; 7.69214 ; 3.29773 ; 0 ; 0
999591733 ; 7.70796 ; 3.29773 ; 0 ; 0
999591893 ; 7.67509 ; 3.29773 ; 0 ; 0
999592053 ; 7.68362 ; 3.29773 ; 0 ; 0
999592213 ; 7.69092 ; 3.29773 ; 0 ; 0
999592373 ; 7.70796 ; 3.29773 ; 0 ; 0
999592533 ; 7.69579 ; 3.29773 ; 0 ; 0
999592693 ; 7.68849 ; 3.29773 ; 0 ; 0
999592853 ; 7.70431 ; 3.29773 ; 0 ; 0
999593013 ; 7.68849 ; 3.29773 ; 0 ; 0
999593173 ; 7.68605 ; 3.29773 ; 0 ; 0
999593333 ; 7.68483 ; 3.29773 ; 0 ; 0
999593493 ; 7.70066 ; 3.29773 ; 0 ; 0
999593653 ; 7.68849 ; 3.29773 ; 0 ; 0
999593813 ; 7.70796 ; 3.29773 ; 0 ; 0
999593973 ; 7.67875 ; 3.29773 ; 0 ; 0
999594133 ; 7.68849 ; 3.29773 ; 0 ; 0
999594293 ; 7.68727 ; 3.29773 ; 0 ; 0
999594453 ; 7.70675 ; 3.29773 ; 0 ; 0
999594613 ; 7.70066 ; 3.29773 ; 0 ; 0
999594773 ; 7.69092 ; 3.29773 ; 0 ; 0
999594933 ; 7.69457 ; 3.29773 ; 0 ; 0
999595093 ; 7.70309 ; 3.29773 ; 0 ; 0
999595253 ; 7.69092 ; 3.29773 ; 0 ; 0
999595413 ; 7.68483 ; 3.29773 ; 0 ; 0
999595573 ; 7.69336 ; 3.29773 ; 0 ; 0
999595733 ; 7.70675 ; 3.29773 ; 0 ; 0
999595893 ; 7.68483 ; 3.29773 ; 0 ; 0
999596053 ; 7.70188 ; 3.29773 ; 0 ; 0
999596213 ; 7.69092 ; 3.29773 ; 0 ; 0
999596373 ; 7.70066 ; 3.29773 ; 0 ; 0
999596533 ; 7.70188 ; 3.29773 ; 0 ; 0
999596693 ; 7.68605 ; 3.29773 ; 0 ; 0
999596853 ; 7.70553 ; 3.29773 ; 0 ; 0
